date,Nonkul Chanon,Film Thanapat,Fourth Nattawat,Khaotung Thanawat,Jam Rachata
2023-11-26 18:30:01,10,18,2,7,0
2023-11-26 19:00:01,19,27,10,23,1
2023-11-26 19:30:01,22,31,15,36,1
2023-11-26 20:00:01,25,35,15,46,2
2023-11-26 20:30:01,29,36,17,53,2
2023-11-26 21:00:01,36,40,18,65,2
2023-11-26 21:30:01,43,41,24,80,2
2023-11-26 22:00:01,46,45,28,90,3
2023-11-26 22:30:01,47,47,29,98,3
2023-11-26 23:00:01,49,47,29,104,5
2023-11-26 23:30:01,50,52,31,107,6
2023-11-27 00:00:01,52,53,32,113,7
2023-11-27 00:30:01,56,54,32,117,8
2023-11-27 01:00:01,60,64,33,124,8
2023-11-27 01:30:01,64,65,37,130,8
2023-11-27 02:00:01,66,66,40,134,9
2023-11-27 02:30:01,66,69,40,134,9
2023-11-27 03:00:01,68,71,42,138,10
2023-11-27 03:30:01,68,71,44,142,10
2023-11-27 04:00:01,70,72,46,147,11
2023-11-27 04:30:01,71,72,47,152,11
2023-11-27 05:00:01,72,73,47,152,11
2023-11-27 05:30:01,72,74,47,152,11
2023-11-27 06:00:01,73,75,48,158,11
2023-11-27 06:30:01,73,76,49,159,12
2023-11-27 07:00:01,74,77,49,161,12
2023-11-27 07:30:01,74,77,50,163,12
2023-11-27 08:00:01,74,77,51,165,12
2023-11-27 08:30:01,75,77,52,166,12
2023-11-27 09:00:01,75,77,54,167,12
2023-11-27 09:30:01,76,77,56,169,12
2023-11-27 10:00:01,76,79,56,171,12
2023-11-27 10:30:01,77,79,56,172,12
2023-11-27 11:00:01,77,82,56,172,12
2023-11-27 11:30:01,77,82,56,172,12
2023-11-27 12:00:01,78,83,58,173,12
2023-11-27 12:30:01,78,84,58,174,12
2023-11-27 13:00:01,78,84,59,175,13
2023-11-27 13:30:01,78,84,59,176,13
2023-11-27 14:00:01,78,84,59,176,13
2023-11-27 14:30:01,78,84,59,179,13
